445370.75,3945703.75,135.97,17
445370.75,3945703.75,135.97,17
445370.8125,3945703.75,136.20,17
445370.8125,3945703.75,136.20,17
445370.90625,3945703.75,136.14,17
445370.90625,3945703.75,136.14,17
445371.0,3945703.5,136.08,17
445371.0,3945703.5,136.08,17
445371.09375,3945703.5,136.01,14
445371.09375,3945703.5,136.01,14
445371.21875,3945703.25,135.95,13
445371.21875,3945703.25,135.95,13
445371.3125,3945703.25,136.17,13
445371.3125,3945703.25,136.17,13
445371.4375,3945703.0,136.10,12
445371.4375,3945703.0,136.10,12
445371.5625,3945703.0,136.05,6
445371.5625,3945703.0,136.05,6
445371.71875,3945702.75,136.02,4
445371.71875,3945702.75,136.02,4
445371.875,3945702.5,135.99,2
445371.875,3945702.5,135.99,2
445372.0625,3945702.25,136.29,3
445372.0625,3945702.25,136.29,3
445372.28125,3945702.25,136.27,0
445372.28125,3945702.25,136.27,0
445372.5,3945702.0,136.27,0
445372.5,3945702.0,136.27,0
445372.75,3945701.75,136.27,0
445372.75,3945701.75,136.27,0
445373.03125,3945701.25,136.25,0
445373.03125,3945701.25,136.25,0
445373.34375,3945701.0,136.25,0
445373.34375,3945701.0,136.25,0
445373.65625,3945700.75,136.23,0
445373.65625,3945700.75,136.23,0
445373.96875,3945700.25,136.22,0
445373.96875,3945700.25,136.22,0
445374.34375,3945700.0,136.20,0
445374.34375,3945700.0,136.20,0
445374.71875,3945699.5,136.19,0
445374.71875,3945699.5,136.19,0
445374.71875,3945699.5,136.19,0
445375.53125,3945698.5,136.19,0
445375.53125,3945698.5,136.19,0
445375.96875,3945698.25,136.16,0
445375.96875,3945698.25,136.16,0
445376.4375,3945697.75,136.15,0
445376.4375,3945697.75,136.15,0
445376.90625,3945697.25,136.14,0
445376.90625,3945697.25,136.14,0
445377.40625,3945696.5,136.14,0
445377.40625,3945696.5,136.14,0
445377.90625,3945696.0,136.12,0
445377.90625,3945696.0,136.12,0
445378.46875,3945695.5,136.11,0
445378.46875,3945695.5,136.11,0
445379.03125,3945694.75,136.11,0
445379.03125,3945694.75,136.11,0
445379.625,3945694.25,136.10,0
445379.625,3945694.25,136.10,0
445380.21875,3945693.5,136.15,0
445380.21875,3945693.5,136.15,0
445380.875,3945692.75,136.14,0
445380.875,3945692.75,136.14,0
445381.53125,3945692.0,136.12,0
445381.53125,3945692.0,136.12,0
445382.21875,3945691.25,136.13,0
445382.21875,3945691.25,136.13,0
445382.9375,3945690.5,136.14,0
445382.9375,3945690.5,136.14,0
445383.625,3945689.75,136.77,0
445383.625,3945689.75,136.77,0
445384.34375,3945689.0,136.77,0
445384.34375,3945689.0,136.77,0
445385.09375,3945688.25,136.78,0
445385.09375,3945688.25,136.78,0
445385.875,3945687.25,136.79,0
445385.875,3945687.25,136.79,0
445386.65625,3945686.5,136.78,0
445386.65625,3945686.5,136.78,0
445387.40625,3945685.5,136.99,0
445387.40625,3945685.5,136.99,0
445388.1875,3945684.75,136.99,0
445388.1875,3945684.75,136.99,0
445389.03125,3945683.75,137.00,0
445389.03125,3945683.75,137.00,0
445389.84375,3945683.0,137.02,0
445389.84375,3945683.0,137.02,0
445390.6875,3945682.0,137.01,0
445390.6875,3945682.0,137.01,0
445391.5625,3945681.0,137.07,0
445391.5625,3945681.0,137.07,0
445392.40625,3945680.0,137.09,0
445392.40625,3945680.0,137.09,0
445393.28125,3945679.0,137.12,-3
445393.28125,3945679.0,137.12,-3
445394.1875,3945678.25,137.22,-3
445394.1875,3945678.25,137.22,-3
445395.0625,3945677.25,137.31,-3
445395.0625,3945677.25,137.31,-3
445395.96875,3945676.25,137.46,-3
445395.96875,3945676.25,137.46,-3
445396.875,3945675.25,137.55,-3
445396.875,3945675.25,137.55,-3
445397.78125,3945674.25,137.59,0
445397.78125,3945674.25,137.59,0
445398.6875,3945673.25,137.58,-1
445398.6875,3945673.25,137.58,-1
445399.65625,3945672.0,137.59,0
445399.65625,3945672.0,137.59,0
445400.59375,3945671.0,137.61,0
445400.59375,3945671.0,137.61,0
445401.5625,3945670.0,137.61,0
445401.5625,3945670.0,137.61,0
445402.59375,3945668.75,137.57,0
445402.59375,3945668.75,137.57,0
445403.59375,3945667.75,137.56,0
445403.59375,3945667.75,137.56,0
445404.625,3945666.5,137.55,0
445404.625,3945666.5,137.55,0
445405.65625,3945665.25,137.56,0
445405.65625,3945665.25,137.56,0
445406.75,3945664.25,137.54,0
445406.75,3945664.25,137.54,0
445407.84375,3945663.0,137.53,0
445407.84375,3945663.0,137.53,0
445408.96875,3945661.75,137.52,0
445408.96875,3945661.75,137.52,0
445410.09375,3945660.5,137.52,0
445410.09375,3945660.5,137.52,0
445411.28125,3945659.0,137.53,0
445411.28125,3945659.0,137.53,0
445412.5,3945657.75,137.54,0
445412.5,3945657.75,137.54,0
445413.6875,3945656.5,137.55,0
445413.6875,3945656.5,137.55,0
445414.90625,3945655.0,137.57,0
445414.90625,3945655.0,137.57,0
445414.90625,3945655.0,137.57,0
445414.90625,3945655.0,137.57,0
445414.90625,3945655.0,137.57,0
445419.9375,3945649.5,137.59,0
445419.9375,3945649.5,137.59,0
445421.21875,3945648.0,137.59,0
445421.21875,3945648.0,137.59,0
445422.5,3945646.75,137.59,0
445422.5,3945646.75,137.59,0
445423.8125,3945645.25,137.61,0
445423.8125,3945645.25,137.61,0
445425.09375,3945643.75,137.60,0
445425.09375,3945643.75,137.60,0
445426.4375,3945642.25,137.59,0
445426.4375,3945642.25,137.59,0
445427.75,3945640.75,137.58,0
445427.75,3945640.75,137.58,0
